abn,company_name,entity_type,status,gst_status,state,postcode,lead_score,classification,positive_signals,negative_signals,source
50838529594,ENERGISE NUTRITION AND DIETETICS,Individual/Sole Trader,ACT,NON,QLD,4171,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50851413276,Incline Nutrition and Dietetics,Individual/Sole Trader,ACT,NON,NSW,2219,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50862944776,NEWTOWN NUTRITION,Individual/Sole Trader,ACT,ACT,NSW,2298,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50876343796,NOVA NUTRITION,Individual/Sole Trader,ACT,ACT,SA,5158,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50886306796,Begin Well Nutrition,Individual/Sole Trader,ACT,NON,VIC,4208,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50887495510,Collective Results Nutrition,Individual/Sole Trader,ACT,CAN,NSW,2028,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50887647822,Mama and Baby Nutrition,Individual/Sole Trader,ACT,NON,NSW,2090,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50910076106,On The Pulse Nutrition,Individual/Sole Trader,ACT,NON,QLD,4032,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50972210968,Organic Foodscapes,Individual/Sole Trader,ACT,ACT,NSW,2068,40,Good potential,organic food (+40),,Australian ABN Bulk Extract
51005253546,HYKER FOOD AND NUTRITION,Individual/Sole Trader,ACT,NON,VIC,3765,35,Possible,nutrition (+25); food (+10),,Australian ABN Bulk Extract
51102492987,PRECISION NUTRITION & DIETETICS BY Z,Individual/Sole Trader,ACT,NON,WA,6055,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
51108372756,SS IMPORTERS & WHOLESALERS PTY LIMITED,Australian Private Company,ACT,CAN,NSW,2164,25,Possible,wholesale (+15); importer (+10),,Australian ABN Bulk Extract
51128079711,Rosie Castle Nutrition,Individual/Sole Trader,ACT,NON,NSW,2203,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
51134799401,NUTRITIONAL ANALYSIS PTY LTD,Australian Private Company,ACT,ACT,VIC,3043,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
51143664019,Infinit Nutrition Pty Ltd,Australian Private Company,ACT,CAN,QLD,4573,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
51158984840,CATALINA WORLD ASIAN GROCERY PTY LTD,Australian Private Company,ACT,NON,SA,5024,40,Good potential,grocery (+20); grocer (+20),,Australian ABN Bulk Extract
51188943662,Mee Mee Asia grocery,Individual/Sole Trader,ACT,ACT,VIC,3028,40,Good potential,grocery (+20); grocer (+20),,Australian ABN Bulk Extract
51256440735,HARD EIGHT NUTRITION LLC,Other Incorporated Entity,ACT,ACT,,89011,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
51279386949,Rooty Hill Grocery,Individual/Sole Trader,ACT,ACT,NSW,2770,40,Good potential,grocery (+20); grocer (+20),,Australian ABN Bulk Extract
51325183318,NUTRITION BY JORJA,Individual/Sole Trader,ACT,NON,WA,6164,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
51341012559,ST4TE SUPPLEMENTS,Individual/Sole Trader,ACT,NON,VIC,3083,25,Possible,supplement (+25),,Australian ABN Bulk Extract
51345560030,PREHAB NUTRITION,Individual/Sole Trader,ACT,NON,QLD,4220,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
51375249099,KHIEM THANH ASIAN GROCERY & FRUIT,Individual/Sole Trader,ACT,CAN,NSW,2166,40,Good potential,grocery (+20); grocer (+20),,Australian ABN Bulk Extract
51403628335,Physical Best Health & Nutrition,Individual/Sole Trader,ACT,ACT,NSW,2100,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
51517541076,Son Ha's Asian Grocery,Individual/Sole Trader,ACT,CAN,SA,5114,40,Good potential,grocery (+20); grocer (+20),,Australian ABN Bulk Extract
51534171898,Remedy Nutrition,Individual/Sole Trader,ACT,NON,NSW,2250,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
51545387698,BOSS TOBACCO & GROCERY,Individual/Sole Trader,ACT,ACT,NSW,2450,40,Good potential,grocery (+20); grocer (+20),,Australian ABN Bulk Extract
51604271248,Wild Vibes Nutrition,Individual/Sole Trader,ACT,NON,QLD,4878,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
51612935921,ORGANIC & GLUTEN FREE SPECIALITY FOODS (AUSTRALIA) PTY LTD,Australian Private Company,ACT,ACT,VIC,3188,25,Possible,organic (+15); food (+10),,Australian ABN Bulk Extract
